2025-02-06 16:59:25:385  {"uuid": "b65ec250-b108-4f42-983d-aba9ccd5a6cb", "url": "https://shushilda.com/catalog/sims-4-cc/shoes-sims4/adidas-superstar-ts4/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": null}
2025-02-06 16:59:25:780  {"uuid": "bca352e9-e032-444e-a9f7-377b16b0f6ef", "url": "https://www.candysims.com/snowflakeboots", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": {"uuid": "7df95ce9-fd13-4dfb-bdd0-241847021658", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1675093910&key=f987fc317309e21ce0fdadaaa140c47e&cid=319350", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "d01de6e5-2787-47a7-a7f2-d96d1942f6be", "url": "https://www.simsfinds.com/continue?key=f987fc317309e21ce0fdadaaa140c47e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "5f176f3f-4356-4a94-9b91-c3290cc0d8b2", "url": "https://www.simsfinds.com/downloads/319350/snowflake-boots-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": null}}}}
2025-02-06 17:30:00:500  {"uuid": "9aa9fad3-c801-4479-83a3-bd01b98905d0", "url": "https://ruchellsims-cc.blogspot.com/2022/05/naked-gladiator-clogs-sandals-free.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "7be666aa-998e-452b-bdb2-8081108cf693", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1652829857&key=ad68264f6c3983c6c34cbd453fee9a38&cid=305637", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED GLADIATOR CLOGS SANDALS - FREE", "previous": {"uuid": "ad413c0c-6ec8-4c73-b0b4-37128268b929", "url": "https://www.simsfinds.com/continue?key=ad68264f6c3983c6c34cbd453fee9a38", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED GLADIATOR CLOGS SANDALS - FREE", "previous": {"uuid": "3ced99e1-d6e7-4657-ae09-f90a027e88cf", "url": "https://www.simsfinds.com/downloads/305637/naked-gladiator-clogs-sandals-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED GLADIATOR CLOGS SANDALS - FREE", "previous": null}}}}
2025-02-06 17:30:00:519  {"uuid": "c6223ce5-c343-4532-b880-50c3e10bdde9", "url": "https://gorgeoussims.com/2022/09/29/kimberly-knee-high-boots/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "823af30e-693a-483d-89ad-28b74e863776", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1718768575&key=cf7fce9b2267a19b01c25305de0e8995&cid=313055", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Kimberly Knee High Boots", "previous": {"uuid": "598b0fae-25a7-4984-aade-6b33197f1fe3", "url": "https://www.simsfinds.com/continue?key=cf7fce9b2267a19b01c25305de0e8995", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Kimberly Knee High Boots", "previous": {"uuid": "6e174887-a3d1-4eff-af26-b1b9ffbd10b3", "url": "https://www.simsfinds.com/downloads/313055/kimberly-knee-high-boots-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Kimberly Knee High Boots", "previous": null}}}}
2025-02-06 17:31:00:320  {"uuid": "180bb0db-b0f3-4b16-8770-7d5010f1939e", "url": "https://jomsimscreations.tumblr.com/post/173447863924/aleseya-jumpsuit-sims-4-pour-elle-en-5-teintes", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "4d0dce18-316f-46ab-9a0f-085519edf889", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1525114778&key=be90a14fb797dbab0e91f92e9baf8573&cid=110424", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Aleseya jumpsuit by jomsimscreations", "previous": {"uuid": "f0cbe599-1373-4de8-9ab2-e8e40705c34f", "url": "https://www.simsfinds.com/continue?key=be90a14fb797dbab0e91f92e9baf8573", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Aleseya jumpsuit by jomsimscreations", "previous": {"uuid": "8b039409-e18c-4bf7-b45a-6cc68b29459d", "url": "https://www.simsfinds.com/downloads/110424/aleseya-jumpsuit-by-jomsimscreations-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Aleseya jumpsuit by jomsimscreations", "previous": null}}}}
2025-02-06 17:31:00:322  {"uuid": "e42e538d-9da2-4c8b-9f3c-26b8a203bfa1", "url": "https://zbyzen.wixsite.com/zbyzen/product-page/lola-jumpsuit", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "0cd37116-4409-47cb-a172-511ae1e1f742", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1562762331&key=f7ef8306e1f768da9b05750dc4b0b0a2&cid=161528", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "afrosimtricsimmer  Lola Overalls &#40; @gorillax3 recolor&#41;", "previous": {"uuid": "cf5d1078-5424-4ad5-90e2-23fe9bc81cbb", "url": "https://www.simsfinds.com/continue?key=f7ef8306e1f768da9b05750dc4b0b0a2", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "afrosimtricsimmer  Lola Overalls &#40; @gorillax3 recolor&#41;", "previous": {"uuid": "3cf855e7-1740-4f24-96d9-7a60b7076441", "url": "https://www.simsfinds.com/downloads/161528/afrosimtricsimmer-lola-overalls-gorillax3-recolor-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "afrosimtricsimmer  Lola Overalls &#40; @gorillax3 recolor&#41;", "previous": null}}}}
2025-02-06 17:31:00:323  {"uuid": "76158ef6-18f8-4b18-bde2-f56b9b2ec005", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/jumpsuit-with-falbala/id/1412824/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "7f6130b9-e541-434b-a355-f9b2b028df0b", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1531323012&key=8b67fd685a7fcdb2ef13306393192c5d&cid=119557", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit with Falbala", "previous": {"uuid": "05758de2-52f2-442a-b090-1417b5febdd2", "url": "https://www.simsfinds.com/continue?key=8b67fd685a7fcdb2ef13306393192c5d", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit with Falbala", "previous": {"uuid": "817ffeb5-1dc1-4ff2-a0fd-0b74efa9241b", "url": "https://www.simsfinds.com/downloads/119557/jumpsuit-with-falbala-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit with Falbala", "previous": null}}}}
2025-02-06 17:31:00:330  {"uuid": "bd644660-5b65-45ab-8001-4f36f8b89aea", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/cc-febyy-ot/id/1506886/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "f3096ac9-4eaf-45bb-8795-9049188611d9", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1600701145&key=25f44e52e16f79a3cacc8fdd3c3abf29&cid=241080", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Febyy OT", "previous": {"uuid": "2ee72560-e004-46fc-a62a-9ecacb2a0ab4", "url": "https://www.simsfinds.com/continue?key=25f44e52e16f79a3cacc8fdd3c3abf29", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Febyy OT", "previous": {"uuid": "d94ee6d9-9f04-4ee9-806a-e240205b46d8", "url": "https://www.simsfinds.com/downloads/241080/carvin-captoor-s-cc-febyy-ot-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Febyy OT", "previous": null}}}}
2025-02-06 17:31:00:336  {"uuid": "7c00de89-3a0f-4c42-bf34-2b7b591902fc", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-formal/title/coctail-overalls/id/1507811/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "8a86e8bc-b846-4b54-a48e-4df689ab7a58", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1600966661&key=a14313cc1e2589b1d8ac9e1c9bdee660&cid=241710", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Saliwa&#39;s Coctail OverAlls", "previous": {"uuid": "abce4846-af41-47b0-9698-12c081a2d72c", "url": "https://www.simsfinds.com/continue?key=a14313cc1e2589b1d8ac9e1c9bdee660", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Saliwa&#39;s Coctail OverAlls", "previous": {"uuid": "51d73a24-e664-4af5-9b3b-5fbfbbd4c749", "url": "https://www.simsfinds.com/downloads/241710/saliwa-s-coctail-overalls-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Saliwa&#39;s Coctail OverAlls", "previous": null}}}}
2025-02-06 17:31:00:341  {"uuid": "f21d9df2-3350-4ba9-a91c-e38635f4094f", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-adult/title/strappy-unitard-o-41/id/1685680/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "1e95acee-6d08-417d-afab-2c1c2d600c06", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1734433479&key=0fedc21c11e7ec83dc646dcf688038fd&cid=358401", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Strappy Unitard O-41 by ChordoftheRings", "previous": {"uuid": "86ec6854-7b24-4126-9863-3368826e1ffe", "url": "https://www.simsfinds.com/continue?key=0fedc21c11e7ec83dc646dcf688038fd", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Strappy Unitard O-41 by ChordoftheRings", "previous": {"uuid": "91ddafac-821f-4e3b-9b25-dc150ea2adb8", "url": "https://www.simsfinds.com/downloads/358401/strappy-unitard-o-41-by-chordoftherings-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Strappy Unitard O-41 by ChordoftheRings", "previous": null}}}}
2025-02-06 17:31:00:341  {"uuid": "55420e1d-0b4a-4cd3-86c0-3f4b5da49d75", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/trendz.-20-02/id/1479917/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "5eaea584-64e5-4b02-880c-3ae4e3e71550", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1583159830&key=e52160994f5b398abc33ff20b363ea59&cid=199306", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TrendZ. 20-02", "previous": {"uuid": "7eda9439-2275-4e6e-84ee-e366986b07cf", "url": "https://www.simsfinds.com/continue?key=e52160994f5b398abc33ff20b363ea59", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TrendZ. 20-02", "previous": {"uuid": "89f42b00-5e71-41fe-90a2-7d638addaa22", "url": "https://www.simsfinds.com/downloads/199306/trendz-20-02-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TrendZ. 20-02", "previous": null}}}}
2025-02-06 17:31:00:341  {"uuid": "8868d062-7e37-4b88-80ae-96bbf49f24e5", "url": "https://riseupbfs.tumblr.com/post/662891883913166848/marcelly-slide", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "96fa630b-01e6-4dc7-b968-699a7c0ca072", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1632197483&key=4ad1d18906b5061602309ff800fd4d8d&cid=289715", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MARCELLY SLIDE", "previous": {"uuid": "d46ab232-a3c7-45cf-bddf-3d5c863e4afe", "url": "https://www.simsfinds.com/continue?key=4ad1d18906b5061602309ff800fd4d8d", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MARCELLY SLIDE", "previous": {"uuid": "6a7b0ce2-34a5-41e2-913a-b13b48aeb73f", "url": "https://www.simsfinds.com/downloads/289715/marcelly-slide-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MARCELLY SLIDE", "previous": null}}}}
